Year,TEAM,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LV,LAR,LAC,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SF,SEA,TB,TEN,WSH
2022,9,SEA,LAC,@NO,@NYJ,@CIN,MIA,CAR,BYE,BYE,BYE,GB,@DET,PHI,@NE,LV,TEN,@JAX,@TB,@ATL,@CHI,@WSH,IND,BAL,BYE,BUF,@HOU,BYE,BYE,@ARI,LAR,@KC,MIN
2022,10,@LAR,@CAR,BYE,MIN,ATL,DET,BYE,@MIA,@GB,@TEN,@CHI,DAL,@NYG,@LV,@KC,JAX,IND,ARI,@SF,CLE,@BUF,BYE,@PIT,HOU,BYE,WSH,NO,LAC,@TB,SEA,DEN,@PHI
2022,11,SF,CHI,CAR,CLE,@BAL,@ATL,@PIT,@BUF,@MIN,LV,@NYG,TEN,WSH,PHI,BYE,@LAC,@DEN,@NO,KC,BYE,DAL,NYJ,LAR,DET,@NE,@IND,CIN,@ARI,BYE,BYE,@GB,@HOU
2022,12,LAC,@WSH,@JAX,@DET,DEN,@NYJ,@TEN,TB,NYG,@CAR,BUF,@PHI,@MIA,PIT,BAL,LAR,@SEA,@KC,@ARI,HOU,NE,@MIN,@SF,@DAL,CHI,GB,@IND,NO,LV,@CLE,CIN,ATL
2022,13,BYE,PIT,DEN,@NE,BYE,GB,KC,@HOU,IND,@BAL,JAX,@CHI,CLE,@DAL,@DET,@CIN,LAC,SEA,@LV,@SF,NYJ,BUF,@TB,WSH,@MIN,TEN,@ATL,MIA,@LAR,NO,@PHI,@NYG
2022,14,NE,BYE,@PIT,NYJ,@SEA,BYE,CLE,@CIN,HOU,KC,MIN,BYE,@DAL,BYE,@TEN,@DEN,@LAR,LV,MIA,@LAC,@DET,@ARI,BYE,PHI,@BUF,@NYG,BAL,TB,CAR,@SF,JAX,BYE
2022,15,@DEN,@NO,@CLE,MIA,PIT,PHI,@TB,BAL,@JAX,ARI,@NYJ,LAR,KC,@MIN,DAL,@HOU,NE,@GB,TEN,@BUF,IND,@LV,ATL,@WSH,DET,@CHI,@CAR,@SEA,SF,CIN,@LAC,NYG
2022,16,TB,@BAL,ATL,@CHI,DET,BUF,@NE,NO,PHI,@LAR,@CAR,@MIA,@TEN,LAC,@NYJ,SEA,@PIT,DEN,@IND,GB,NYG,CIN,@CLE,@MIN,JAX,@DAL,LV,WSH,@KC,@ARI,HOU,@SF
2022,17,@ATL,ARI,PIT,@CIN,@TB,@DET,BUF,@WSH,@TEN,@KC,CHI,MIN,JAX,@NYG,@HOU,DEN,SF,@LAC,LAR,@NE,@GB,MIA,@PHI,IND,@SEA,NO,@BAL,@LV,NYJ,CAR,DAL,CLE
2022,18,@SF,TB,@CIN,NE,@NO,MIN,BAL,@PIT,@WSH,LAC,@GB,DET,@IND,HOU,TEN,@LV,KC,@SEA,@DEN,NYJ,@CHI,@BUF,CAR,@PHI,@MIA,NYG,CLE,ARI,LAR,@ATL,@JAX,DAL
